Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
740006,740,"40,686","410,868",52.108617,-112.894471
740007,740,"55,806","410,868",51.994061,-113.086944
740008,740,"16,404","410,868",51.85891,-113.022844
740009,740,"61,665","410,868",52.012708,-112.660213
741001,741,"37,013","234,546",52.51783,-105.458071
741002,741,"12,114","234,546",52.554568,-106.008794
741003,741,"25,184","234,546",52.560179,-105.880987
741004,741,"40,553","234,546",52.564226,-105.545914
741005,741,"13,107","234,546",52.514792,-105.737296
741006,741,"11,559","234,546",52.430684,-106.08318
741007,741,"11,118","234,546",52.423725,-105.858177
741008,741,"5,499","234,546",52.377141,-105.963985
741009,741,"8,094","234,546",52.320769,-106.068181
741010,741,"18,069","234,546",52.370178,-105.482799
741011,741,"19,156","234,546",52.278674,-105.339714
741012,741,"33,079","234,546",52.221974,-105.760039
742001,742,"28,576","71,732",52.666539,-107.33143
742002,742,"39,122","71,732",52.516915,-107.399546
742003,742,"4,035","71,732",52.378968,-107.246625
743001,743,"99,054","171,058",52.423107,-110.218958
743002,743,"60,620","171,058",52.26043,-110.252881
743003,743,"11,385","171,058",52.336857,-110.03914
744001,744,"53,751","384,702",52.586781,-113.293256
744002,744,"83,021","384,702",52.401009,-113.467054
744003,744,"6,784","384,702",52.252645,-113.55601
744004,744,"121,566","384,702",52.075295,-113.479645
744005,744,"119,580","384,702",51.746509,-113.353822
745001,745,"68,818","1,149,511",52.407186,-105.071268
745002,745,"47,998","1,149,511",52.438482,-104.751018
745003,745,"106,111","1,149,511",52.254254,-104.438045
745004,745,"147,114","1,149,511",52.189122,-103.929286
745005,745,"46,746","1,149,511",52.168777,-105.131546
745006,745,"166,531","1,149,511",51.953526,-104.888715
745007,745,"37,845","1,149,511",52.260973,-103.702235
745008,745,"76,286","1,149,511",51.902856,-105.203998
745009,745,"68,513","1,149,511",52.057973,-104.346242
745010,745,"14,852","1,149,511",51.938796,-104.637497
745011,745,"163,476","1,149,511",51.885663,-104.337939
745012,745,"98,910","1,149,511",51.875326,-103.308186
745013,745,"29,574","1,149,511",51.760317,-103.7147
745014,745,"13,938","1,149,511",51.642994,-104.820959
745015,745,"26,236","1,149,511",51.744554,-102.510918
745016,745,"36,561","1,149,511",51.797075,-102.677836
746001,746,"172,106","281,802",51.778372,-113.953942
746002,746,"109,696","281,802",51.503053,-114.257627
747001,747,"46,085","162,796",51.709093,-103.201445
747002,747,"17,069","162,796",51.621627,-102.994347
747003,747,"37,420","162,796",51.52354,-102.687002
747004,747,"28,584","162,796",51.54078,-102.866279
747005,747,"33,637","162,796",51.419851,-102.405213
748001,748,"92,379","1,061,851",51.500606,-104.027232
748002,748,"122,902","1,061,851",51.074234,-104.385631
748003,748,"14,329","1,061,851",51.593524,-104.089913
748004,748,"27,365","1,061,851",51.620681,-104.213804
748005,748,"86,568","1,061,851",51.6421,-103.34522
748006,748,"104,776","1,061,851",51.079053,-104.196171
748007,748,"10,141","1,061,851",51.396452,-104.447446
748008,748,"41,702","1,061,851",51.474174,-103.604036
748009,748,"71,222","1,061,851",51.159078,-103.244837
748010,748,"34,971","1,061,851",51.390777,-103.90568
748011,748,"74,528","1,061,851",51.364641,-103.211465
748012,748,"288,180","1,061,851",51.089263,-103.489777
748013,748,"18,452","1,061,851",51.266995,-104.18754
748014,748,"22,807","1,061,851",51.239374,-102.913867
748015,748,"16,350","1,061,851",51.230837,-103.531965
748016,748,"13,922","1,061,851",50.962888,-103.433646
748017,748,"21,257","1,061,851",50.929338,-103.281207
749001,749,"27,597","583,185",51.647078,-102.482566
749002,749,"16,968","583,185",51.570569,-102.580355
749003,749,"57,248","583,185",51.278962,-102.691653
749004,749,"41,712","583,185",51.060807,-102.326675
749005,749,"50,408","583,185",51.07478,-102.535145
749006,749,"51,453","583,185",51.551345,-102.007948
749007,749,"162,990","583,185",51.23183,-102.064339
749008,749,"33,006","583,185",50.900288,-102.052482
749009,749,"111,894","583,185",50.88192,-101.765585
749010,749,"29,909","583,185",50.716297,-101.647704
750001,750,"20,265","368,386",51.143801,-114.625293
750002,750,"92,828","368,386",51.306151,-114.410169
750003,750,"6,323","368,386",51.148911,-114.347312
750004,750,"82,615","368,386",50.952235,-114.326105
750005,750,"17,583","368,386",50.81812,-114.204102
750006,750,"52,022","368,386",50.732672,-113.995409
750007,750,"54,343","368,386",50.410374,-114.291374
750008,750,"42,408","368,386",50.24393,-114.066861
751001,751,"28,530","215,242",50.559325,-101.512182
751002,751,"24,621","215,242",50.37754,-101.331168
751003,751,"20,177","215,242",50.15961,-101.136144
751004,751,"16,196","215,242",50.253898,-101.088194
751005,751,"39,696","215,242",51.201274,-101.598633
751006,751,"62,809","215,242",50.677366,-101.360309
751007,751,"23,212","215,242",50.826401,-101.507693
752001,752,"26,161","937,636",50.921221,-102.529602
752002,752,"12,511","937,636",50.913647,-102.80559
752003,752,"149,821","937,636",50.671237,-102.480974
752004,752,"83,918","937,636",50.719568,-103.094855
752005,752,"15,154","937,636",50.483118,-102.815628
752006,752,"24,076","937,636",50.532552,-102.925643
752007,752,"39,164","937,636",50.364884,-102.615586
752008,752,"9,549","937,636",50.500096,-102.440124
752009,752,"32,405","937,636",50.448511,-102.164898
752010,752,"37,003","937,636",50.313411,-102.134574
752011,752,"10,790","937,636",50.296273,-102.607813
752012,752,"13,719","937,636",49.847613,-101.403439
752013,752,"87,867","937,636",49.687504,-101.070138
752014,752,"26,567","937,636",50.452319,-101.929618
752015,752,"95,427","937,636",50.28243,-101.549086
752016,752,"9,149","937,636",50.388474,-101.685118
752017,752,"119,086","937,636",50.142146,-101.679412
752018,752,"97,597","937,636",50.623266,-102.062685
752019,752,"47,672","937,636",50.544012,-102.383314
753001,753,"6,976","780,293",50.442124,-100.989108
753002,753,"110,380","780,293",50.499585,-100.770816
753003,753,"7,382","780,293",50.582019,-100.950645
753004,753,"40,668","780,293",50.001094,-100.826431
753005,753,"31,531","780,293",49.926183,-100.553294
753006,753,"41,346","780,293",50.621621,-101.052591
753007,753,"257,720","780,293",50.169686,-100.449318
753008,753,"17,317","780,293",50.452404,-101.179346
753009,753,"26,832","780,293",50.151401,-99.966536
753010,753,"8,582","780,293",50.361307,-99.777994
753011,753,"26,178","780,293",50.279699,-99.626371
753012,753,"108,913","780,293",50.095615,-99.819379
753013,753,"96,467","780,293",50.75033,-101.244634
754001,754,"20,979","330,465",50.889141,-104.234959
754002,754,"51,531","330,465",50.88029,-103.849029
754003,754,"17,516","330,465",50.861108,-104.055886
754004,754,"38,026","330,465",50.585806,-103.452362
754005,754,"32,120","330,465",50.805225,-103.288081
754006,754,"38,294","330,465",50.672625,-103.436973
754007,754,"37,274","330,465",50.641029,-103.946568
754008,754,"17,922","330,465",50.61073,-103.811939
754009,754,"21,311","330,465",50.594128,-103.607388
754010,754,"41,585","330,465",50.495513,-103.365144
754011,754,"13,908","330,465",50.399905,-103.101337
755001,755,"35,134","267,499",50.557295,-104.350063
755002,755,"215,647","267,499",50.030775,-103.202336
755003,755,"16,719","267,499",50.203516,-103.545984
756001,756,"119,494","576,115",50.588833,-104.135342
756002,756,"77,213","576,115",50.391552,-103.426813
756003,756,"16,212","576,115",50.351668,-103.652684
756004,756,"8,665","576,115",50.424859,-102.454632
756005,756,"120,003","576,115",50.161684,-102.229428
756006,756,"120,165","576,115",50.190074,-102.907977
756007,756,"20,400","576,115",50.306078,-102.82285
756008,756,"93,963","576,115",50.059781,-102.765375
757001,757,"144,242","267,509",49.691178,-99.408481
757002,757,"43,160","267,509",49.862208,-98.909897
757003,757,"32,138","267,509",49.925794,-99.963731
757004,757,"38,652","267,509",49.832807,-99.717296
757005,757,"9,317","267,509",49.775277,-99.444246
758001,758,"11,956","345,882",49.859311,-100.704098
758002,758,"19,136","345,882",49.99289,-100.326022
758003,758,"15,540","345,882",49.813085,-100.423093
758004,758,"18,976","345,882",49.746538,-100.114844
758005,758,"27,644","345,882",49.498395,-99.227521
758006,758,"39,389","345,882",49.623738,-98.868448
758007,758,"77,127","345,882",49.568472,-99.740755
758008,758,"19,539","345,882",49.798051,-99.844506
758009,758,"68,672","345,882",49.682208,-100.220425
758010,758,"21,969","345,882",49.593239,-99.088078
758011,758,"25,933","345,882",49.631046,-99.192204
759001,759,"69,913","69,913",49.907078,-99.386185
760001,760,"27,829","695,549",49.78777,-102.075534
760002,760,"466,161","695,549",49.56088,-101.606819
760003,760,"38,535","695,549",49.643629,-102.50031
760004,760,"87,391","695,549",49.077223,-101.794115
760005,760,"75,633","695,549",50.049749,-101.844957
761001,761,"30,572","110,728",49.838267,-102.667
761002,761,"25,895","110,728",49.757417,-102.673663
761003,761,"54,261","110,728",49.807197,-102.390223
762001,762,"36,109","169,286",49.741207,-102.833449
762002,762,"21,733","169,286",49.817491,-103.061402
762003,762,"64,681","169,286",49.576279,-102.781513
762004,762,"19,094","169,286",49.409766,-102.169249
762005,762,"27,669","169,286",49.47894,-102.27545
763001,763,"198,687","424,197",49.340858,-100.767039
763002,763,"13,107","424,197",49.73543,-100.971555
763003,763,"12,274","424,197",49.719562,-100.593431
763004,763,"12,818","424,197",49.635724,-100.894292
763005,763,"24,161","424,197",49.648926,-100.72949
763006,763,"93,315","424,197",49.195838,-101.655591
763007,763,"14,105","424,197",49.500606,-100.60509
763008,763,"5,706","424,197",49.319242,-100.888473
763009,763,"22,196","424,197",49.057588,-100.986589
763010,763,"20,892","424,197",49.064699,-101.157938
763011,763,"6,934","424,197",49.130844,-100.957463
764001,764,"11,998","137,768",49.236365,-99.162355
764002,764,"6,658","137,768",49.258829,-99.099055
764003,764,"31,702","137,768",49.617056,-99.918791
764004,764,"29,149","137,768",49.490263,-99.673212
764005,764,"58,261","137,768",49.32565,-99.342938
765001,765,"45,448","508,012",49.528778,-100.294248
765002,765,"84,847","508,012",49.180998,-100.586682
765003,765,"25,461","508,012",49.249314,-100.316451
765004,765,"66,070","508,012",49.171276,-100.120926
765005,765,"97,536","508,012",49.100426,-99.458838
765006,765,"5,582","508,012",49.016596,-100.712531
765007,765,"6,714","508,012",49.032349,-100.592645
765008,765,"133,104","508,012",49.30755,-99.890011
765009,765,"43,251","508,012",49.357032,-99.645709
766001,766,"54,812","318,348",49.135081,-98.909501
766002,766,"17,791","318,348",49.158094,-99.231609
766003,766,"15,822","318,348",49.148194,-98.505847
766004,766,"7,064","318,348",49.185577,-98.215269
766005,766,"19,034","318,348",49.065445,-98.189148
766006,766,"23,887","318,348",49.360176,-98.366979
766007,766,"44,448","318,348",49.260433,-98.448532
766008,766,"52,163","318,348",49.05002,-98.793506
766009,766,"12,028","318,348",49.270183,-98.602094
766010,766,"71,298","318,348",49.217996,-99.224383
767001,767,"111,979","676,393",52.553347,-109.122263
767002,767,"94,572","676,393",52.346351,-109.385979
767003,767,"60,652","676,393",52.473452,-108.801722
767004,767,"11,554","676,393",52.236104,-109.09218
767005,767,"42,311","676,393",52.218168,-108.932707
767006,767,"50,237","676,393",52.205176,-109.297101
767007,767,"15,130","676,393",52.302937,-109.134711
767008,767,"10,692","676,393",52.166176,-108.812713
767009,767,"8,561","676,393",52.384099,-108.38853
767010,767,"57,854","676,393",52.219858,-108.050692
767011,767,"71,041","676,393",52.06355,-109.426539
767012,767,"30,837","676,393",52.251057,-108.435508
767013,767,"16,256","676,393",52.329589,-108.149104
767014,767,"82,282","676,393",52.069304,-108.436173
767015,767,"12,434","676,393",52.020592,-108.919724
768001,768,"55,822","68,186",52.365458,-109.578993
768002,768,"12,364","68,186",52.455423,-109.578827
769001,769,"204,104","352,817",52.101599,-111.432894
769002,769,"36,045","352,817",52.062273,-112.330962
769003,769,"42,193","352,817",52.064068,-112.039388
769004,769,"21,501","352,817",52.061317,-112.454732
769005,769,"48,974","352,817",51.806844,-111.751263
770001,770,"50,675","521,892",52.252774,-107.490247
770002,770,"45,815","521,892",52.1232,-107.378508
770003,770,"203,997","521,892",51.944513,-107.205127
770004,770,"26,532","521,892",51.688292,-107.591616
770005,770,"36,414","521,892",51.73563,-107.348041
770006,770,"84,244","521,892",51.53732,-106.998249
770007,770,"27,239","521,892",51.550291,-107.16499
770008,770,"23,969","521,892",51.230044,-106.808023
770009,770,"4,835","521,892",51.314207,-106.935997
770010,770,"18,172","521,892",51.106547,-106.78657
771001,771,"123,646","480,504",52.184127,-110.946311
771002,771,"3,598","480,504",52.198263,-110.050021
771003,771,"65,703","480,504",51.834202,-110.621642
771004,771,"2,014","480,504",52.160559,-110.038316
771005,771,"168,102","480,504",51.956327,-110.249951
771006,771,"52,719","480,504",51.836199,-110.391298
771007,771,"23,197","480,504",51.97555,-109.643203
771008,771,"41,525","480,504",51.75047,-110.061453
772001,772,"49,801","79,137",52.295192,-106.998519
772002,772,"29,337","79,137",52.252325,-106.630833
773001,773,"45,409","443,020",52.175496,-106.514877
773002,773,"52,156","443,020",52.154865,-105.498161
773003,773,"119,709","443,020",51.982352,-105.994982
773004,773,"65,150","443,020",52.003707,-105.778794
773005,773,"43,445","443,020",51.689616,-106.549586
773006,773,"17,123","443,020",51.861736,-106.168401
773007,773,"31,307","443,020",51.782726,-105.939634
773008,773,"19,166","443,020",51.66668,-105.745722
773009,773,"49,557","443,020",51.518576,-106.493662
774001,774,"25,714","101,414",52.280219,-105.910869
774002,774,"26,051","101,414",52.239462,-106.139625
774003,774,"25,939","101,414",52.151041,-106.407754
774004,774,"23,710","101,414",52.122439,-105.97768
775001,775,"18,371","126,033",52.253373,-107.667815
775002,775,"15,954","126,033",52.133691,-107.720881
775003,775,"56,766","126,033",51.852946,-108.037987
775004,775,"34,942","126,033",51.977842,-107.775672
776001,776,"25,933","204,672",52.159985,-106.992908
776002,776,"61,713","204,672",51.786488,-106.974508
776003,776,"18,814","204,672",51.899227,-106.752254
776004,776,"53,272","204,672",51.870476,-106.558438
776005,776,"44,940","204,672",51.812641,-106.93184
777001,777,"47,547","118,606",52.023394,-111.752483
777002,777,"21,070","118,606",51.888082,-111.563575
777003,777,"49,989","118,606",51.899019,-111.318451
778001,778,"59,665","59,665",51.986953,-108.148916
779001,779,"69,158","104,216",51.959334,-112.214069
779002,779,"35,058","104,216",51.805298,-112.662415
780001,780,"53,797","417,046",51.829663,-108.761585
780002,780,"23,282","417,046",51.688062,-108.462433
780003,780,"274,040","417,046",51.454751,-107.901802
780004,780,"13,762","417,046",51.74029,-108.217218
780005,780,"22,502","417,046",51.218989,-107.820839
780006,780,"29,663","417,046",50.980264,-108.196301
781001,781,"40,288","335,690",51.662528,-113.054962
781002,781,"43,116","335,690",51.625326,-112.782624
781003,781,"15,653","335,690",51.502962,-112.84636
781004,781,"46,074","335,690",51.798761,-112.300552
781005,781,"45,267","335,690",51.605991,-112.566989
781006,781,"47,949","335,690",51.480564,-112.963672
781007,781,"24,738","335,690",51.32094,-113.200469
781008,781,"21,909","335,690",51.365631,-112.960698
781009,781,"50,696","335,690",51.226173,-113.088673
782001,782,"122,782","785,925",51.518621,-106.231258
782002,782,"85,154","785,925",51.275358,-105.592205
782003,782,"43,044","785,925",51.365306,-106.757328
782004,782,"58,456","785,925",51.265233,-106.556791
782005,782,"47,437","785,925",51.295736,-106.334372
782006,782,"52,376","785,925",51.247966,-105.807427
782007,782,"43,098","785,925",51.166296,-105.919334
782008,782,"83,455","785,925",51.021524,-105.463638
782009,782,"22,949","785,925",50.966603,-106.144866
782010,782,"29,938","785,925",51.066835,-106.06325
782011,782,"21,562","785,925",50.939609,-105.821432
782012,782,"49,856","785,925",50.867396,-105.24628
782013,782,"19,010","785,925",50.810686,-105.484129
782014,782,"68,409","785,925",50.657698,-105.282226
782015,782,"4,837","785,925",50.746781,-105.066578
782016,782,"8,002","785,925",50.742869,-104.964897
782017,782,"25,560","785,925",50.614434,-105.025849
783001,783,"311,174","376,840",50.937358,-105.032336
783002,783,"9,375","376,840",51.14367,-104.998593
783003,783,"56,291","376,840",51.00402,-104.813946
